Produto,Descricao,Localizacao,Familia,Estoque,Venda,Un
13A1255C,CORREIA TIPO V,,ACESS,0,"35,70",PC
07076,COXIM ESCAPAMENTO GOL GV,,ACESS,5,"16,77",PC
MM117,CUBO VOLANTE GOL/PARATI/SAV 95/,J-4,ACESS,0,"146,11",PC
MM123,CUBO VOLANTE POLO/GOLF/FOX/GOL 09...,J-4,ACESS,1,"175,15",PC
2793,DESBLOQUEIO DE VIDEO FT-VF-TY4 COROLLA/HILUX 22/,,ACESS,1,"278,00",PC
094032,DESCANCA BRACO LD UNO 95/ LONGO P/V ELET,,ACESS,0,"56,97",PC
7616736,DESLIZE BANCO UNO GENUINO,,ACESS,20,"12,00",UN
140069,DIFUSOR DE AR (GRADINHA) CENTRAL - PALIO 1996 ATE,,ACESS,2,"31,29",PC
297066,ELETROBOMBA P/BRISA ASTRA - DUPLA SAIDA 12,J2-04,ACESS,2,"70,94",PC
297071,ELETROBOMBA RESERVATORIO FIESTA/KA 2 SAIDA,J2-01,ACESS,2,"74,83",PC
SCN01,ENGRENAGEM MOTOR SCANIA,J2-10,ACESS,2,"82,80",PC
264,ESPAGUETE COMUM 14 MM ROLO C/ 100 MTS.,,ACESS,77,"6,05",MT
2988,"ESPAGUETE CORRUGADO 4,5 M.M - ROLO 20 MTS",,ACESS,0,"7,26",MT
2989,"ESPAGUETE CORRUGADO 7,5 M.M - ROLO 20 METR",,ACESS,19,"7,26",MT
4236,ESPATULA KITS,,ACESS,7,"43,44",PC
2311,ESPUMA ANTI RUIDO C/ADER.ROLO C/3CM ESP.X 2,,ACESS,13,"12,71",UN
1389217,ESPUMA CAVALETE,,ACESS,2,"42,76",PC
7013,ESPUMA PARA CHICOTE SEM COLA,,ACESS,6,"143,26",PC
4733D,EXCENTRICO FECHADURA PORTA HUNDAY HB20 LA,,ACESS,2,"39,25",UN
4733E,EXCENTRICO FECHADURA PORTA HYUNDAY HB20 L,,ACESS,2,"35,68",UN
4658,EXCENTRICO PORTA MALAS GOL G4,,ACESS,4,"107,02",UN
203003,EXTINTOR CAMINHAO 2 KG 4 POLEGADAS ABC 5ANOS,,ACESS,0,"148,42",PC
R987,EXTINTOR P1 3'' FININHO 5 ANOS,,ACESS,3,"164,91",PC
R989,EXTINTOR P1 4'' BARRIGUDO 5 ANOS,,ACESS,5,"182,65",PC
R988,EXTINTOR P1 84MM MEDIO 5 ANOS,,ACESS,4,"165,16",
0309311,FAIXA DECORATIVA S-10 CABINA DUPLA,,ACESS,0,"389,40",PC
130247,FAIXA REFLETIVA ADESIVA O PAR,,ACESS,20,"22,08",PR
400286,FECHO CINTO DE SEGURANCA PALIO 96/99 DIR,N1-2,ACESS,3,"53,41",PC
400287,FECHO CINTO DE SEGURANCA PALIO 96/99 ESQ,N1-2,ACESS,4,"51,11",PC
400279,FECHO CINTO DE SEGURANCA PALIO/STRADA 05/ DIR/ESQ,N1-2,ACESS,0,"52,09",PC
400338,FECHO CINTO SEGURANCA GOL GIII/FOX DIR,N1-2,ACESS,2,"64,70",PC
400339,FECHO CINTO SEGURANCA GOL GIII/FOX ESQ,N1-2,ACESS,3,"64,70",PC
41593,FECHO PORTA LUVA S10 95/00,E-6,ACESS,1,"61,49",PC
30678,FECHO PORTA LUVAS S/CHAVE FORD CORCEL II AP84,,ACESS,0,"47,12",PC
500048,FERRAMENTA CONEXOES FORD,,ACESS,0,"138,53",PC
612027,FILTRO CON.C/TEC. FILTR. P/TURBO INJ. 62.MM AZUL,,ACESS,7,"135,67",PC
612023,FILTRO ESPORTIVO 52MM,,ACESS,0,"94,64",PC
612027VM,FILTRO ESPORTIVO 62MM,,ACESS,8,"113,76",PC
612025,FILTRO ESPORTIVO 70MM,,ACESS,0,"135,67",PC
537195,FITA ANTI-RUIDO FELTRO METRO,,ACESS,1,"7,62",MT
537199,FITA ANTI-RUIDO PVC C/ADERENCIA 30MMX5MMX4MT ESPES,,ACESS,49,"30,91",MT
3403904,FITA CREPE BRANCA 10MT FR1,FR1,ACESS,33,"6,18",PC
FT015,FITA DUPLA FACE 20 METROS,,ACESS,36,"81,60",PC
AUT10M,FITA DUPLA FACE PRETA,,ACESS,0,"61,21",PC
23772,FITA ISOLANTE TECIDO,,ACESS,71,"21,80",PC
220332,FORRO DE PORTA DIANT FIAT UNO VINIL PRETO,,ACESS,0,"216,49",PR
CT318AC,FRISO AUTO COLANTE PERSONALIZADO CROMADO 10MM,,ACESS,2,"11,18",MT
CT313,FRISO AUTO COLANTE PERSONALIZADO CROMADO 20MM,,ACESS,11,"19,29",MT
051140,FRISO INF DIR FAROL SANTANA QUANTUM 91/98,O3-1,ACESS,3,"12,30",PC
051135,FRISO INF. FAROL SANT/QUANT 91/98 LE,,ACESS,0,"13,95",PC
083015,GANCHO DA CACAMBA SAVEIRO GV - GVI 2009 A,,ACESS,2,"10,16",PC
521011,GARRA DE BATERIA TIPO JACARE,,ACESS,2,"64,80",PC
3704,"GPS 4,3 + TV+FM+CAMERA",,ACESS,0,"513,46",PC
GP011,"GPS 4,3'' UNIVERSAL BK-GPS4330",,ACESS,0,"391,31",PC
HBN4310,"GPS BUSTER 4,3",,ACESS,1,"414,14",PC
FS3D463DT,GPS FOSTON 4.3'',,ACESS,0,"440,23",PC
3703,"GPS TRACKER 4,3 III MULTILASER",,ACESS,0,"528,36",PC
144713,GRADE DE PARACHOQUE KA 2017 S/ MILHA LE,,ACESS,1,"37,23",PC
040254,GRADE P/CHOQUE C/MILHA GOL GV - LD,,ACESS,1,"30,70",PC
040253,GRADE P/CHOQUE C/MILHA GOL GV - LE,,ACESS,1,"30,70",PC
236955,GRAMPO DO CAPO VW MODERNO GOL-PARATI-SAVEIRO AMARE,,ACESS,10,"5,88",KIT
230225,GRAMPO HASTE CAPU CORSA/CELTA,M1-31,ACESS,12,"7,55",PC
1985719,GUAR FIAT ARGO PB INF 18/ 5P LFLEX,,ACESS,1,"60,81",UN
51860700,HASTE,,ACESS,1,"64,40",PC
001,INSTALACAO RASTREADOR,,ACESS,0,"69,88",PC
280,INTERFACE DESBLOQUEIO DE VIDEO GM,,ACESS,0,"993,53",PC
5714,INTERFACE PARA SENSOR DE RE,,ACESS,1,"152,46",PC
735372830,INTERRUPTOR MODE PALIO/STRADA 04/,M4-5,ACESS,1,"125,78",PC
100175056,INTERRUPTOR MODE STRADA LOCKER,,ACESS,0,"146,11",PC
10797,INTERRUPTOR RETROVISOR ELETRICO GOLF,,ACESS,0,"165,17",PC
7086592,JG TAPETES PALIO ORIGINAL,,ACESS,1,"170,56",PC
2027558,JUNTA VEDACAO LANTERNA SCANIA,,ACESS,1,"167,76",PC
139663,KIT C/4 EMBL. CALOTA RESINADO PEUGEOT 55MM - PRETO,,ACESS,1,"25,05",KT
CT874K3,KIT CORREIA TENSOR PALIO/STRADA 1.8 05/,,ACESS,0,"323,98",PC
AP0016,KIT DE MONTAGEM PARA ANTENAS AP0016,M3-44,ACESS,1,"9,78",KIT
3874,KIT FAROL AUX ONIX JOY 2014/,,ACESS,0,"562,98",PC
MKF17,KIT FERRAMENTAS MANUAIS MALLORY,,ACESS,0,"110,41",PC
B081S,KIT FIXACAO UNIV. CAIXA BAU PICKUP,,ACESS,0,"108,34",UN
237115,KIT VARETA DE SUSTENTACAO DO CAPO - MOBI/UNO - 2 P,,ACESS,5,"19,06",KT
237114,KIT VARETA DO CAPO FIAT MODERNO NOVA STRADA - 3 PC,,ACESS,5,"19,06",KT
237117,KIT VARETA DO CAPO VW CROSSFOX/FOX/SPACEFOX 3 PCS,,ACESS,4,"19,06",KT
KT334T,KIT VIDRO ELET GOL G7 TRAS,,ACESS,0,"1088,34",PC
140026,LENTE BOTAO PISCA ALERTA TDS MOD FORD REDONDA VERM,,ACESS,5,"21,25",PC
604106,LENTE FAROL AUX. UNO 1.5R ELBA CSL FIO LX ACR. LD,,ACESS,0,"60,88",PC
604105,LENTE FAROL AUX. UNO 1.5R ELBA CSL FIO LX ACR. LE,,ACESS,0,"60,88",PC
51836085,LIMITADOR PORTA DIANT UNO NOVO,M1-63,ACESS,4,"99,00",UN
51836108,LIMITADOR TRAS UNO NOVO,M1-62,ACESS,4,"107,80",UN
518169,LIMPA VIDROS ANTIEMBACANTE - 200ML,,ACESS,1,"25,41",PC
1543,LONGARINA TETO S-10 EXECUTIVE,,ACESS,0,"838,53",PC
520051,LUVA MULTIUSO PARA CARRO,,ACESS,0,"15,25",PC
WE403,MACACO HIDRAULICO,,ACESS,0,"253,85",PC
205027,MACACO JOELHO MAX LIGHT 600KG - UNO/CORSA/ASTRA/GO,,ACESS,0,"200,35",PC
205039,MACACO JOELHO SUPERLIGHT UNO CORSA CHEVET ASTRA,,ACESS,0,"127,05",PC
202,MACACO SANFONA 1200KG,,ACESS,2,"200,22",PC
NK160232,MANOPLA FREIO DE MAO PEUGEOT 2206 ROSA/CROMADA,,ACESS,0,"26,55",PC
002,MANUTENÇAO RASTREADOR,,ACESS,0,"41,93",PC
100204833,MODURA DIR GRANSIENA,,ACESS,1,"49,00",UN
257043,MOLDURA APARELHO PIONER BASCULANTE,,ACESS,3,"8,39",PC
3622,MOLDURA BORDA CACAMBA HILUX 2017/,,ACESS,2,"165,80",PC
21862,MOLDURA BOTAO BANCO GOL/PAR/SAV 96/ GRAFITE,M1-05,ACESS,0,"4,19",PC
GM730P,MOLDURA BOTAO VIDRO ELETRICO CELTA O PAR,,ACESS,1,"42,31",PAR
735258678,MOLDURA CANTO STRADA 2001/ DIR,,ACESS,2,"25,00",PC
735258679,MOLDURA CANTO STRADA 2001/ ESQ,,ACESS,2,"25,00",PC
100279014,MOLDURA DIR STRADA NOVA,,ACESS,1,"228,00",PC
100204838,MOLDURA ESQ COBERTURA FECHADURA CAPOT,,ACESS,1,"49,00",UN
GN1515A298AC5YZ,MOLDURA FAROL DE NEBLINA ECOSPORT,,ACESS,1,"187,91",PC
434042,MOLDURA PAINEL INSTRUMENTO GOL GIII,O4-3,ACESS,1,"61,30",PC
4592,MOLDURA PINO TRAVA PORTA GOL G3/G4,,ACESS,0,"13,98",PC
INT100908,MOLDURA PORTA GOL GIV DIR GRAFITE P/VIDRO ELETRICO,O4-7,ACESS,1,"55,00",PC
INT100909,MOLDURA PORTA GOL GIV ESQ GRAFITE P/VIDRO ELETRICO,O4-7,ACESS,1,"55,00",PC
311058,MOLDURA PRETO LISO-P/CHOQUE CORSA 03/07 DIANT. LD,,ACESS,1,"74,56",PC
100194341,MOLDURA PUXADOR PORTA UNO VIVACE 11/ MANUAL,,ACESS,3,"37,50",PC
520055,MOLDURA TAMPA TRASEIRA HILUX 05/,,ACESS,2,"40,78",PC
100279013,MOLDURA TAMPA TRASEIRA STRADA 2021/,,ACESS,3,"204,00",UN
2428,MOLDURA TECLA FOX DIR E ESQ O PAR,,ACESS,1,"132,00",PC
12267,MONITOR 4.3,,ACESS,1,"161,82",PC
01,OCULOS DE SEGURANCA,,ACESS,0,"8,39",PC
0011501,PARABARRO INT PARALAMA GOL PARAT SAV 99/... ESQ,,ACESS,0,"88,94",PC
236643,PARAF. FIXACAO DAS COLUNAS INT./APOIO DE,,ACESS,8,"1,00",KT
304087,PARAFUSO DE PLACA LINHA FIAT (AZUL),,ACESS,1,"17,15",PC
301344,PARAFUSO ESFERICO C/PORCA AMORT. DE PORTA MALA 8MM,,ACESS,1,"11,96",PC
5009,PARAFUSO FIXACAO HYUNDAI / KIA PARABARRO 6 X 20,,ACESS,3,"3,33",UN
LE6003,PARASOL P/ PARA-BRISA C/ PAISAGEM,,ACESS,0,"37,64",PC
10350,PEDALEIRA ESPORTIVA AMARELA,,ACESS,0,"48,91",PC
10351,PEDALEIRA ESPORTIVA AZUL,,ACESS,0,"60,82",
10349,PEDALEIRA ESPORTIVA VERMELHA,N1-7,ACESS,0,"50,31",PC
ES1636,PENDRIVE 16GB SANDISK,,ACESS,0,"50,31",PC
ES1635,PENDRIVE 8GB SANDISK,,ACESS,0,"44,47",PC
PE,PEÇA EMPRESTADA,,ACESS,0,"0,01",PC
CR1620,PILHA PARA CONTROLE,,ACESS,4,"19,57",PC
3898,PINO FIXACAO TAMPAO BAGAGITO GOL,M2-64,ACESS,6,"22,68",PC
1365,PINO MACANETA GOL BOLA (MECANICO),F-20,ACESS,1,"16,90",UN
DS7Z13B375A,PISCA RETROVISOR ESQ FUSION,,ACESS,0,"970,66",PC
639965,PISTOLA APLICACAO DE COLA 600 ML,,ACESS,0,"355,74",PC
131C,PIVO LIMPADOR PARABRISA MB CENTRAL,BP-8,ACESS,1,"76,87",PC
132D,PIVO LIMPADOR PARABRISA MB LD,BP-8,ACESS,1,"64,57",PC
130E,PIVO LIMPADOR PARABRISA MB LE,BP-8,ACESS,1,"69,18",PC
CR1220,PLIHA MICRO 1220,,ACESS,5,"14,52",PC
611278,PONTEIRA ESPORTE ALUMINIO PRETA 3 DIAMETRO/ENC. A,,ACESS,2,"186,13",PC
3621,PONTEIRA PARACHOQUE TRAS DIR HILUX 2017/,,ACESS,0,"220,00",PC
034026,PONTEIRA PARACHOQUE TRAS HILUX 05/15 DIR,,ACESS,2,"38,12",PC
034023,PONTEIRA PARACHOQUE TRAS HILUX 05/15 ESQ,,ACESS,2,"38,12",PC
798,PONTEIRA PHILIPS,,ACESS,2,"24,60",PC
031135,PONTEIRA SAVEIRO PRETA TE 83/92,,ACESS,1,"27,21",PC
232090,PORCA MOLDURA PARALAMA CORSA/VECTRA,J-25,ACESS,14,"3,00",PC
50006587,PORCA PNEU ESTEPE UNO,M3-18,ACESS,1,"47,00",PC
0272601,PORTA LUVA CHEVET 80/93 COMPLETO,O4-5,ACESS,1,"38,12",PCX
065069,PORTA OBJETO PALIO 2P STRADA 00/04 30 PAR,,ACESS,0,"241,40",KT
520130,PORTA OCULOS,,ACESS,0,"23,91",PC
5304,PRESILHA FIX. VARETA CAPO FIAT TODOS,,ACESS,5,"11,33",UN
5302,PRESILHA FIX. VARETA CAPO GM ONIX/ PROSMA/,,ACESS,1,"10,16",UN
5266,PRESILHA FIX. VARETA CAPO HONDA CIVIC/ RAV4,,ACESS,3,"11,43",UN
3045,PRESILHA VARETA CAPO FIAT PALIO,,ACESS,2,"10,16",UN
4593,PRESILHA VARETA CAPO FOX,,ACESS,0,"12,30",PC
0530021,PROTETOR CACAMBA AMAROK,,ACESS,0,"1509,74",PC
5228,PROTETOR CACAMBA RANGER 2013/,,ACESS,0,"1544,29",PC
011356,PROTETOR CAIXA DE RODA CELTA LD,,ACESS,1,"126,15",PC
011357,PROTETOR CAIXA DE RODA CELTA LE,,ACESS,1,"126,15",PC
01953,PROTETOR DE CARTER STRADA 2021/,,ACESS,0,"98,78",PC
520031,PROTETOR DE CINTO DE SEGURANÇA,,ACESS,1,"25,16",PC
502570,PUXADOR DO CAPO VW GOLF 2008/2014 LONGA (LIN,,ACESS,1,"15,00",UN
APL350,PUXADOR INT PORTA DIANT DIR ESCORT VERONA 93/..,J-19,ACESS,0,"70,86",PC
52091308,PUXADOR PORTA TORO DIR,,ACESS,4,"326,00",PC
52091389,PUXADOR PORTA TORO ESQ,,ACESS,2,"477,00",PC
338082469,PUXADOR PORTA UNO VIVACE 2 PORTAS,,ACESS,0,"153,00",PC
3380820467,PUXADOR PORTA UNO VIVACE 4PORTAS,,ACESS,1,"140,00",PC
074141,QUEBRA SOL UNO/FIORINO 2004/CINZA ESQ,,ACESS,1,"82,13",PC
TA369001R,RADIADOR GOL 87/95,,ACESS,0,"358,22",PC
MXT140A1280152,RASTREADOR MXR140A1280152,,ACESS,0,"559,02",
MXT140A1279983,RASTREADOR MXT140A1279983,,ACESS,0,"559,02",
G69777,RASTREADOR TK303 COBAN,,ACESS,1,"355,74",PC
415730,REFLETOR PARA CHOQUE FOX 10/14 LD,K-18,ACESS,1,"71,47",PC
415731,REFLETOR PARA CHOQUE FOX 10/14 LE,,ACESS,0,"71,47",PC
415946,REFLETOR PARACHOQUE TRAS. FIAT STRADA 2004/2013 LD,,ACESS,1,"23,18",PC
415947,REFLETOR PARACHOQUE TRAS. FIAT STRADA 2004/2013 LE,,ACESS,2,"23,18",PC
415948,REFLETOR PARACHOQUE TRAS. VW VOYAGE G6/G7 13... LD,,ACESS,1,"64,68",PC
415949,REFLETOR PARACHOQUE TRAS. VW VOYAGE G6/G7 13... LE,,ACESS,0,"77,62",PC
415751,REFLETOR PARACHOQUE TRASEIRO COROLLA 12/14 LE,,ACESS,1,"42,46",PC
415757,REFLETOR PARACHOQUE TRASEIRO COROLLA 15/18 LE,K-20,ACESS,0,"74,60",PC
415630,REFLETOR PARACHOQUE TRASEIRO CORSA HATCH 03/14 DIR,L-2,ACESS,1,"34,85",PC
415633,REFLETOR PARACHOQUE TRASEIRO CORSA HATCH 03/14 ESQ,L-2,ACESS,1,"42,49",PC
415632,REFLETOR PARACHOQUE TRASEIRO CORSA HATCH 03/14 VER,,ACESS,1,"42,82",PC
415900,REFLETOR PARACHOQUE TRASEIRO STRADA 14/20 LD,,ACESS,0,"42,30",PC
415901,REFLETOR PARACHOQUE TRASEIRO STRADA 14/20 LE,,ACESS,1,"42,30",PC
4700,REPARO CILINDRO PORTA COMPLETO VW UP,,ACESS,1,"60,78",UN
G1001,RESERVATORIO RADIADOR GOL 87/,,ACESS,0,"33,93",PC
0710014,RETROVISOR INTERNO COM CAMERA (O KIT),,ACESS,3,"240,00",PC
900002,RETROVISOR LCD INTERNO SEM CAMERA,,ACESS,0,"219,23",PC
220220,REVEST DE PORTA MONZA 2P DIANT. 89/97 (TUBARAO) -,,ACESS,1,"336,91",PR
220262,REVESTIMENTO PORTA FORD KA 97/2000,,ACESS,1,"374,63",PR
136051,ROLO FITA DUPLA FACE 9.5MM X 5M - TRANSPARENTE,,ACESS,40,"25,75",PC
R12,SACA NUCLEUO,,ACESS,0,"55,90",PC
0490023,SARGENTO PARA CAPOTA MARITIMA,J-21,ACESS,0,"40,00",PC
ZS0001,SENSOR DE ESTACIONAMENTO AVULSO,,ACESS,12,"25,41",PC
ZS0103,SENSOR DE ESTACIONAMENTO BRANCO,,ACESS,0,"140,00",JG
2953,SENSOR DE ESTACIONAMENTO EMBORRACHADO,,ACESS,5,"190,00",PC
ZS0102,SENSOR DE ESTACIONAMENTO PRATA,,ACESS,4,"140,00",PC
ZS0104,SENSOR DE ESTACIONAMENTO PRETO,,ACESS,8,"140,00",PC
1607216,SOQUETE FAROL AUXILIAR LAMPADA H1,M2-39,ACESS,5,"18,34",PC
550287,SOQUETE LAMPADA 1 POLO,,ACESS,11,"11,86",KT
557010,SOQUETE PARA LAMPADA H7 (CACHIMBO),M4-9,ACESS,3,"27,95",PC
1996,SUPORTE (PE) RETROVISOR S10 (LADO DIREITO),,ACESS,1,"152,20",UN
AP0618,SUPORTE ANTENA MB BICUDO DIR,M3-42,ACESS,1,"55,90",JG
AP0619,SUPORTE ANTENA MB BICUDO ESQ,M3-42,ACESS,1,"41,93",JG
0014,SUPORTE BASE SENSOR DE CHUVA ASX,,ACESS,1,"592,00",PC
AP1733,SUPORTE BI-ARTICULADO P/MALAS PEQUENO,M3-41,ACESS,0,"85,63",PC
AP3833,SUPORTE BI-ARTICULADO PORTA MALA P/ADAPTACAO,M3-41,ACESS,2,"134,16",PC
203030,SUPORTE EXTINTOR 1KG 84MM,,ACESS,19,"19,57",PC
52169988,SUPORTE FAROL DIR TORO,,ACESS,1,"363,00",PC
52169989,SUPORTE FAROL ESQ TORO,,ACESS,1,"482,37",UN
144124,SUPORTE FAROL MILHA PALIO 2015/ DIR,,ACESS,0,"52,29",PC
13009030001,SUPORTE HASTE CAPU ASTRA/CORSA,M1-31,ACESS,5,"15,37",PC
144125,SUPORTE MILHA PALIO 2015/...LE,,ACESS,1,"52,29",PC
520127,SUPORTE PARA GPS UNIVERSAL,,ACESS,0,"80,64",
520129,SUPORTE PARA GPS/SMARTPHONE PRETO,,ACESS,2,"53,01",PC
231463,SUPORTE QUEBRA SOL COROLLA 14/17 /HILUX,,ACESS,10,"12,00",KT
4677,SUPORTE QUEBRA SOL ECOSPORT/KA 2015/,M1-33,ACESS,5,"22,78",PC
4571,SUPORTE QUEBRA SOL ETIOS/HILUX,E-7,ACESS,6,"15,84",PC
4547,SUPORTE QUEBRA SOL FOX,,ACESS,18,"14,52",PC
4575,SUPORTE QUEBRA SOL ONIX/PRISMA NOVO,,ACESS,0,"19,06",PC
230007,SUPORTE QUEBRA SOL PALIO WEEKEND 2003/.. GRAFITE,E-7,ACESS,9,"15,71",PC
6023600,SUPORTE QUEBRA SOL UNO PRETO,J-17,ACESS,3,"6,29",PC
231710,SUPORTE QUEBRA-SOL AGILE 10-14/ COBALT 12-17/ CRU,,ACESS,4,"12,70",KT
230061,SUPORTE QUEBRA-SOL AGILE/ONIX/CRUZE,E-7,ACESS,13,"10,16",KT
231450,SUPORTE QUEBRA-SOL BEGE CLARO GOL 94-14,,ACESS,10,"8,25",KT
300003,TAMPA PLASTICA VALVULA PNEU CROMADO,J-7,ACESS,2,"11,03",JG
298204,TAMPA RESERVAT.DO LIMP DE PARABRISA S10/TRAIL BLAZ,,ACESS,4,"62,79",PC
296,TAMPA RESERVATORIO AGUA VW,,ACESS,2,"11,00",PC
232004,TAMPAO ASSOALHO GRANDE GOL/PASSAT/SANTANA,G2-2,ACESS,12,"4,00",PC
232023,TAMPAO ASSOALHO GRANDE MODERNO ONIX/ PR,,ACESS,12,"3,63",KT
231113,TAMPAO ASSOALHO MEDIO GOL 94-02/ PARATI,,ACESS,10,"3,63",KT
232020,TAMPAO ASSOALHO MEDIO LINHA GM,G2-2,ACESS,1,"1,27",PC
232001,TAMPAO ASSOALHO PEQUENO LINHA GM,G2-2,ACESS,25,"1,27",PC
502164,"TAMPAO BRACO DIANT PALIO, PALIO WEEKEND",M2-41,ACESS,10,"6,35",KT
230333,TAMPAO DRENO ASSOALHO VW,G2-1,ACESS,29,"4,04",PC
230335,TAMPAO DRENO PORTA MALAS GOL/SANTANA/PARA,,ACESS,60,"5,78",KT
231115,TAMPAO PEQ. ASSOALHO VW GOL/VOY/PRT/PST/,,ACESS,3,"3,18",KT
230330,TAMPAO PORTA MALAS FAMILIA CORSA/CELTA,,ACESS,60,"3,63",KT
0526501,TAMPAO SUPERIOR CENTRAL PAINEL PALIO 96/2006,J-7,ACESS,0,"19,73",PC
014060,TAMPAO SUPERIOR DIR LATERAL PALIO TDS PRETO,J-7,ACESS,0,"15,42",PC
014062,TAMPAO SUPERIOR DIR LATERAL PAINEL PALIO TDS GRAFI,,ACESS,0,"20,37",PC
014061,TAMPAO SUPERIOR ESQ LATERAL PAINEL PALIO PRETO,J-7,ACESS,0,"15,42",PC
997,TARIFA DE COBRANÇA REF COMPRA,,ACESS,0,"3,81",PC
140020,TELA DO TWITTER PORTA VECTRA ZAFIRA 97/2005 PRETA,M1-44,ACESS,4,"39,64",PC
7570400,TOMADA P/ RABICHO MACHO CROMADA,DP6,ACESS,73,"36,32",PC
4720006,TOMADA P/ RABICHO PRETO,,ACESS,12,"25,80",PC
IDF5041,TOMADA PLUG P/ RABICHO 7 POLOS PRETO(MACHO),,ACESS,32,"45,00",PC
DNI0586,TOMADA USB,,ACESS,2,"108,63",PC
543044,TRAVA P/MAQ VIDRO SCENIC CLIO,,ACESS,14,"6,99",KT
520050,TRAVA PEDAL/VOLANTE COM CHAVE UNIVERSAL,,ACESS,3,"103,65",PC
5283,TRAVA VARETA CAPO HYUNDAI / KIA,,ACESS,2,"13,09",UN
41147,VALVULA AR QUENTE S-10/BLAZER,M1-45,ACESS,0,"54,89",PC
290087,VARETA NIVEL OLEO CORSA 1.0/1.4/1.6 8V 97/ CELTA 1,,ACESS,1,"56,12",PC
1313056,ADESIVO 1.4 PALIO/PUNTO/IDEA/STRADA,,ADESI,3,"16,48",PC
02321,ADESIVO DECORATIVO ARANHA,,ADESI,53,"3,07",PC
01611,ADESIVO FAIXAO DEMO,DEMO,ADESI,4,"6,15",PC
01609,ADESIVO FAIXINHA DEMO,DEMO,ADESI,17,"1,54",PC
01608,ADESIVO GOZACAO DEMO,DEMO,ADESI,5,"1,54",PC
01607,ADESIVO INFEITE TERCINHO DEMO,DEMO,ADESI,0,"1,54",PC
01683,ADESIVO PIT BUL NOS,,ADESI,21,"3,07",PC
01680,ADESIVO PLAY BOY,,ADESI,28,"3,07",PC
01606,ADESIVO PORTA CHAVE FIAT/FORD/PALIO DEMO,DEMO,ADESI,11,"15,37",PC
01610,ADESIVO PROIBIDO FUMAR DEMO,DEMO,ADESI,0,"0,77",PC
01681,ADESIVO RODEIO,,ADESI,45,"3,07",PC
01684,ADESIVO TIGRE VIGIADO 24H GRANDE,,ADESI,26,"6,15",PC
01682,ADESIVO TORCEDOR CRUZEIRO/VASCO/CORINTHIANS,,ADESI,15,"2,80",PC
28701121,DECORATIVO PAINEL INSTR CORSA (MOCA DE FRENTE) FR3,FR3,ADESI,1,"27,98",PC
3M0057LD,FAIXA REFLETIVA ADESIVA OBRIGATORIA,J-22,ADESI,11,"10,16",PC
03098111,FILME DECORATIVO VID TRAS TDOS CARROS (CAVALOS) FR,FR4,ADESI,1,"127,60",PC
03098151,FILME DECORATIVO VID TRAS TDS CARROS (MONT AZUL) F,FR4,ADESI,0,"127,60",PC
174476,GRAVACAO DE CHASSI,,ADESI,669,"15,00",PC
SXT987,ALARME AUTOMOTIVO SXT987 SISTEC,,ALART,1,"241,50",UN
FKS5,ALARME FKS5 DEDICADO GOL G5/G6/G7,,ALART,0,"392,47",PC
K100,ALARME KOSTAL K100 S-LOCK,,ALART,1,"333,51",PC
TW20,ALARME PARA CARRO TARAMPS TW20,,ALART,4,"298,00",JG
EX360,ALARME POSITRON EXACT EX360,,ALART,2,"459,80",PC
FX360,ALARME POSITRON NOVO FX360,,ALART,0,"451,43",PC
FKS902,ALARME UNIVERSAL FKS,,ALART,3,"219,80",PC
01485,BLOQUEADOR ANTI FURTO PARA CARRO,FR3,ALART,2,"84,89",PC
11949,BOTAO PANICO PARA ALARME,M4-39,ALART,17,"7,28",PC
CM20,CAMERA DE RE SEM INFRAVERMELHO,,ALART,43,"89,90",PC
12198,CAPA CHAVE TOYOTA HILUX COROLLA,,ALART,2,"109,15",PC
DNI2015,CENTRAL DE TRAVA ELETRICA 2 OU 5 FIOS,BALCAO,ALART,0,"67,13",PC
16750200002,KIT SUPORTE P/ TRAVA ELETRICA POLO 4 PTA,M3-10,ALART,1,"44,63",PC
537092,KIT SUPORTE TRAVA ELETRICA CELTA 2 PTAS ATE /2006,M3-22,ALART,1,"107,53",JG
LSS11,KIT SUPORTE TRAVA ELETRICA CELTA PRISMA 4PTAS,M3-12,ALART,2,"57,97",PC
72046,KIT SUPORTE TRAVA ELETRICA CORSA 2002/ 4PTA,M3-13,ALART,4,"63,77",PC
TRV07,KIT SUPORTE TRAVA ELETRICA CORSA 2PT FR3,M3-04,ALART,1,"22,01",PC
7204607,KIT SUPORTE TRAVA ELETRICA CORSA 4 PT,M3-07,ALART,2,"57,23",PC
7204602,KIT SUPORTE TRAVA ELETRICA FIESTA 4PT 02/ FR3,M3-06,ALART,0,"46,29",PC
LSP02,KIT SUPORTE TRAVA ELETRICA FIESTA 96/99 ESCORT 4PT,M3-05,ALART,0,"43,80",PC
LSP01,KIT SUPORTE TRAVA ELETRICA FIESTA/KA/COU/ 96/2PTA,M3-06,ALART,0,"30,32",PC
LSP35,KIT SUPORTE TRAVA ELETRICA FORD KA NOVO 08/14,M3-14,ALART,1,"32,02",PC
LSS31,KIT SUPORTE TRAVA ELETRICA FOX /08 4 PORTAS,M3-16,ALART,1,"53,09",PC
7204628,KIT SUPORTE TRAVA ELETRICA FOX 2 PORTAS,M3-03,ALART,0,"34,65",PC
